"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/25 5:17:20 PM GMT-3","estela","Ticket: #60039","PJ EMPRESARIAL"
"2023/05/25 5:19:38 PM GMT-3","Renato","Ticket #60003","PJ EMPRESARIAL"
"2023/05/25 5:19:57 PM GMT-3","Francine","Ticket #59918","PF"
"2023/05/25 5:26:44 PM GMT-3","Nicoly","Ticket: #59940","PJ EMPRESARIAL"
"2023/05/25 5:28:37 PM GMT-3","Rômulo","Ticket #60080","PJ EMPRESARIAL"
"2023/05/25 5:31:29 PM GMT-3","Davi","Ticket #60055","INTERCAMBIO"
"2023/05/25 5:32:48 PM GMT-3","Renato","Ticket #60018","PJ EMPRESARIAL"
"2023/05/25 5:34:54 PM GMT-3","Francine","Ticket #60031","INTERCAMBIO"
"2023/05/25 5:38:14 PM GMT-3","Rômulo","Ticket #60087","PJ EMPRESARIAL"
"2023/05/25 5:38:46 PM GMT-3","Rômulo","Ticket #60085","PJ EMPRESARIAL"
"2023/05/25 5:39:26 PM GMT-3","Rômulo","Ticket #60084","PJ EMPRESARIAL"
"2023/05/25 5:39:41 PM GMT-3","Francine","Ticket #60031","INTERCAMBIO"
"2023/05/25 5:42:41 PM GMT-3","Renato","Ticket #60029","INTERCAMBIO"
"2023/05/25 5:43:27 PM GMT-3","Rômulo","Ticket #60090","PJ EMPRESARIAL"
"2023/05/25 5:46:48 PM GMT-3","Nicoly","Ticket: #59952","PJ COLETIVO POR ADESÃO"
"2023/05/25 5:47:39 PM GMT-3","Andreia Santos","Ticket #60093","PF"
"2023/05/25 5:47:48 PM GMT-3","Renato","Ticket #60048","PJ EMPRESARIAL"
"2023/05/25 5:51:44 PM GMT-3","Davi","Ticket #60024","PJ EMPRESARIAL"
"2023/05/25 5:54:42 PM GMT-3","Renato","Ticket #60038","PJ EMPRESARIAL"
"2023/05/25 5:58:00 PM GMT-3","francine","Ticket #60028","PF"
"2023/05/25 6:03:13 PM GMT-3","Renato","Ticket #60063","PF"
"2023/05/25 6:04:16 PM GMT-3","Andreia Santos ","Ticket #60095","EXONERADO"
"2023/05/25 6:10:43 PM GMT-3","Lucas","Ticket: #60083","PJ EMPRESARIAL"
"2023/05/25 6:11:19 PM GMT-3","Rômulo","Ticket #60100","INTERCAMBIO"
"2023/05/25 6:13:00 PM GMT-3","Renato","Ticket #60053","PJ COLETIVO POR ADESÃO"
"2023/05/25 6:13:16 PM GMT-3","Andreia Santos","Ticket #60097","PJ COLETIVO POR ADESÃO"
"2023/05/25 6:21:47 PM GMT-3","Renato","Ticket #60076","PJ COLETIVO POR ADESÃO"
"2023/05/25 6:22:58 PM GMT-3","Nicoly","Ticket: #59942","PF"
"2023/05/25 6:27:46 PM GMT-3","Nicoly ","Ticket: #60057","PJ EMPRESARIAL"
"2023/05/25 6:27:50 PM GMT-3","Rômulo","Ticket #60108","PJ COLETIVO POR ADESÃO"
"2023/05/25 6:28:31 PM GMT-3","Nicoly ","Ticket: #60040","PF"
"2023/05/25 6:29:28 PM GMT-3","Rômulo","Ticket #60110","PJ EMPRESARIAL"
"2023/05/25 6:30:07 PM GMT-3","Rômulo","Ticket #60111","PJ EMPRESARIAL"
"2023/05/25 6:31:14 PM GMT-3","Nicoly ","Ticket: #59944","PJ EMPRESARIAL"
"2023/05/25 6:44:02 PM GMT-3","Renato","Ticket #60079","PJ EMPRESARIAL"
"2023/05/25 6:58:25 PM GMT-3","Rômulo","Ticket #60120","PJ EMPRESARIAL"
"2023/05/25 6:58:45 PM GMT-3","Lucas","Ticket: #60131","UFSC"
"2023/05/25 6:58:46 PM GMT-3","Rômulo","Ticket #60124","PJ EMPRESARIAL"
"2023/05/25 6:58:51 PM GMT-3","Renato","Ticket #60081","PJ EMPRESARIAL"
"2023/05/25 6:59:32 PM GMT-3","Rômulo","Ticket #60122","PJ EMPRESARIAL"
"2023/05/25 6:59:56 PM GMT-3","Rômulo","Ticket #60125","PJ EMPRESARIAL"
"2023/05/25 7:01:23 PM GMT-3","Lucas","Ticket: #60132","PF"
"2023/05/25 7:08:15 PM GMT-3","Andreia Santos","Ticket #60099","INTERCAMBIO"
"2023/05/25 7:08:24 PM GMT-3","Renato","Ticket #60123","CAASC 0025"
"2023/05/25 7:09:26 PM GMT-3","Andreia Santos","Ticket #60102","PJ COLETIVO POR ADESÃO"
"2023/05/25 7:12:15 PM GMT-3","Renato","Ticket #60133","PF"
"2023/05/25 7:14:55 PM GMT-3","Andreia Santos","Ticket #60101","PJ COLETIVO POR ADESÃO"
"2023/05/25 7:19:25 PM GMT-3","Renato","Ticket #60091","PJ EMPRESARIAL"
"2023/05/25 7:24:35 PM GMT-3","Nicoly","Ticket: #59947","PJ EMPRESARIAL"
"2023/05/25 7:27:17 PM GMT-3","Renato ","Ticket #60135","PJ COLETIVO POR ADESÃO"
"2023/05/25 7:28:40 PM GMT-3","Nicoly ","Ticket: #60035","PJ COLETIVO POR ADESÃO"
"2023/05/25 7:33:56 PM GMT-3","Renato","Ticket #60134","PJ EMPRESARIAL"
"2023/05/25 7:51:48 PM GMT-3","Nicoly","Ticket: #60062","PJ COLETIVO POR ADESÃO"
"2023/05/25 7:55:23 PM GMT-3","Renato","Ticket #60138","INTERCAMBIO"
"2023/05/25 7:56:03 PM GMT-3","Nicoly","Ticket: #60041","PJ EMPRESARIAL"
"2023/05/25 8:02:25 PM GMT-3","Renato","Ticket #60142","INTERCAMBIO"
"2023/05/25 8:05:54 PM GMT-3","Lucas ","Ticket: #60132","PF"
"2023/05/25 8:06:48 PM GMT-3","Rômulo","Ticket #60147","PJ EMPRESARIAL"
"2023/05/25 8:07:42 PM GMT-3","Renato","Ticket #60140","PJ EMPRESARIAL"
"2023/05/25 8:08:58 PM GMT-3","Lucas","Ticket: #60143","PJ EMPRESARIAL"
"2023/05/25 8:15:16 PM GMT-3","Lucas","Ticket: #60148","PJ EMPRESARIAL"
"2023/05/25 8:18:53 PM GMT-3","Renato","Ticket #60144","PJ EMPRESARIAL"
"2023/05/25 8:24:36 PM GMT-3","Renato","Ticket #60145","PJ EMPRESARIAL"
"2023/05/25 8:28:38 PM GMT-3","Rômulo","Ticket #60149","PJ EMPRESARIAL"
"2023/05/25 8:29:13 PM GMT-3","Renato","Ticket #60146","UFSC"
"2023/05/25 8:29:13 PM GMT-3","Rômulo","Ticket #60151","PJ EMPRESARIAL"
"2023/05/25 8:29:18 PM GMT-3","Lucas","Ticket: #60154","PJ EMPRESARIAL"
"2023/05/25 8:31:34 PM GMT-3","Renato","Ticket #60150","PJ EMPRESARIAL"
"2023/05/25 8:42:56 PM GMT-3","Rômulo","Ticket #60160","PJ EMPRESARIAL"
"2023/05/25 8:48:53 PM GMT-3","Andreia Santos","Ticket #60141","PJ COLETIVO POR ADESÃO"
"2023/05/25 9:02:19 PM GMT-3","nicoly","Ticket: #60061","INTERCAMBIO"
"2023/05/25 9:04:10 PM GMT-3","Renato","Ticket #60156","PJ EMPRESARIAL"
"2023/05/25 9:06:51 PM GMT-3","Andreia Santos","Ticket #60158","PJ EMPRESARIAL"
"2023/05/25 9:08:37 PM GMT-3","Renato","Ticket #60153","PJ EMPRESARIAL"
"2023/05/25 9:11:33 PM GMT-3","Renato","Ticket #60166","PJ EMPRESARIAL"
"2023/05/25 9:14:32 PM GMT-3","Nicoly","Ticket: #60058","PJ EMPRESARIAL"
"2023/05/25 9:18:43 PM GMT-3","Andreia Santos","Ticket #60165","UFSC"
"2023/05/25 9:22:04 PM GMT-3","Renato","Ticket #81093","INTERCAMBIO"
"2023/05/25 9:22:29 PM GMT-3","Andreia Santos","Ticket #60167","INTERCAMBIO"
"2023/05/25 9:27:37 PM GMT-3","Nicoly","Ticket: #60066","PJ EMPRESARIAL"
"2023/05/25 9:31:42 PM GMT-3","Rômulo","Ticket #60171","INTERCAMBIO"
"2023/05/25 9:32:34 PM GMT-3","Andreia Santos","Ticket #60169","FUNDAÇOES"
"2023/05/25 9:35:43 PM GMT-3","Nicoly ","Ticket: #60068","INTERCAMBIO"
"2023/05/25 9:36:12 PM GMT-3","Rômulo","Ticket #60172","FUNDAÇOES"
"2023/05/25 9:41:05 PM GMT-3","Andreia Santos","Ticket #60170","PJ COLETIVO POR ADESÃO"
"2023/05/25 9:48:34 PM GMT-3","Lucas","Ticket: #60154","PJ EMPRESARIAL"
"2023/05/25 9:50:00 PM GMT-3","Lucas","Ticket: #60162","PF"
"2023/05/25 9:50:45 PM GMT-3","Lucas","Ticket: #60162","PF"
"2023/05/25 9:52:06 PM GMT-3","Lucas","Ticket: #60164","PJ COLETIVO POR ADESÃO"
"2023/05/25 9:53:35 PM GMT-3","Nicoly","Ticket: #60071","PJ EMPRESARIAL"
"2023/05/25 10:13:58 PM GMT-3","Nicoly","Ticket: #60072","PJ EMPRESARIAL"
"2023/05/25 10:18:18 PM GMT-3","Nicoly","Ticket: #60078","PJ EMPRESARIAL"
"2023/05/25 10:35:32 PM GMT-3","Nicoly","Ticket: #60075","PJ EMPRESARIAL"
"2023/05/25 11:01:29 PM GMT-3","Andreia Santos","Ticket #60186","PF"
"2023/05/26 12:10:28 AM GMT-3","eugenia","Ticket #60196","PJ COLETIVO POR ADESÃO"
"2023/05/26 12:56:34 AM GMT-3","eugenia","Ticket #60195","UFSC"
"2023/05/26 12:57:16 AM GMT-3","eugenia","Ticket #60194","PJ EMPRESARIAL"
"2023/05/26 1:02:57 AM GMT-3","Andreia Santos","Ticket #60184","INTERCAMBIO"
"2023/05/26 6:40:56 AM GMT-3","vanessa gallardo","Ticket: #60201","UFSC"
"2023/05/26 6:52:45 AM GMT-3","SARA ZIMMERMANN","Ticket: #60200","PF"
"2023/05/26 7:06:39 AM GMT-3","SARA ZIMMERMANN","Ticket #60204","PJ COLETIVO POR ADESÃO"
"2023/05/26 7:16:02 AM GMT-3","Jacqueline Lais ","Ticket #60205","PJ EMPRESARIAL"
"2023/05/26 7:25:44 AM GMT-3","Jacqueline Lais ","Ticket #60206","PJ EMPRESARIAL"
"2023/05/26 7:28:54 AM GMT-3","Jacqueline Lais ","Ticket #60210","PJ EMPRESARIAL"
"2023/05/26 7:30:14 AM GMT-3","SARA ZIMMERMANN","Ticket #60208","PJ COLETIVO POR ADESÃO"
"2023/05/26 7:36:27 AM GMT-3","SARA ZIMMERMANN","Ticket #60207","PJ EMPRESARIAL"
"2023/05/26 7:37:03 AM GMT-3","vanessa gallardo","Ticket: #60209","FUNDAÇOES"
"2023/05/26 7:40:22 AM GMT-3","Jacqueline Lais ","Ticket #60211","PJ EMPRESARIAL"
"2023/05/26 7:47:10 AM GMT-3","Bianca","Ticket: #60213","FUNDAÇOES"
"2023/05/26 7:57:36 AM GMT-3","ÉRIKA MULASSANI MAINARDI ","Ticket: #60217","PJ EMPRESARIAL"
"2023/05/26 7:58:27 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60214","INTERCAMBIO"
"2023/05/26 8:08:08 AM GMT-3","Bianca","Ticket: #60220","PJ COLETIVO POR ADESÃO"
"2023/05/26 8:09:37 AM GMT-3","Bianca","Ticket: #60222","PJ EMPRESARIAL"
"2023/05/26 8:10:58 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60224","PJ EMPRESARIAL"
"2023/05/26 8:11:24 AM GMT-3","Milena","Ticket: #60223","PJ EMPRESARIAL"
"2023/05/26 8:18:18 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60229","UFSC"
"2023/05/26 8:18:43 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60229","UFSC"
"2023/05/26 8:19:27 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60230","PF"
"2023/05/26 8:20:52 AM GMT-3","Jacqueleine Lais ","Ticket #60219","PJ EMPRESARIAL"
"2023/05/26 8:21:25 AM GMT-3","Bianca","Ticket: #60238","FUNDAÇOES"
"2023/05/26 8:22:21 AM GMT-3","Bianca","Ticket: #60237","PJ EMPRESARIAL"
"2023/05/26 8:22:46 AM GMT-3","Jacqueline Lais ","Ticket #60225","PJ EMPRESARIAL"
"2023/05/26 8:24:24 AM GMT-3","Jacqueline Lais","Ticket #60228","PJ EMPRESARIAL"
"2023/05/26 8:25:42 AM GMT-3","Jacqueline Lais ","Ticket #60233","PF"
"2023/05/26 8:25:55 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60224","PJ EMPRESARIAL"
"2023/05/26 8:26:51 AM GMT-3","Jacqueline Lais ","Ticket #60236","PJ COLETIVO POR ADESÃO"
"2023/05/26 8:26:51 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60231","PF"
"2023/05/26 8:28:28 AM GMT-3","Sara zimmermann","Ticket #60226","PJ EMPRESARIAL"
"2023/05/26 8:31:56 AM GMT-3","SARAH MORGANA","Ticket: #60241","PJ EMPRESARIAL"
"2023/05/26 8:32:43 AM GMT-3","vanessa gallardo","chat 36044920230526146166","PF"
"2023/05/26 8:38:33 AM GMT-3","Bianca","Ticket: #60248","PJ EMPRESARIAL"
"2023/05/26 8:38:52 AM GMT-3","SARAH MORGANA","Ticket: #60243","PJ EMPRESARIAL"
"2023/05/26 8:41:23 AM GMT-3","vanessa gallardo","chat 36044920230526146215","PF"
"2023/05/26 8:41:28 AM GMT-3","SARA ZIMMERMANN","Ticket #60239","PJ EMPRESARIAL"
"2023/05/26 8:44:25 AM GMT-3","juliana","#60250","CAASC 0976"
"2023/05/26 8:45:33 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60246","PJ EMPRESARIAL"
"2023/05/26 8:48:53 AM GMT-3","vanessa gallardo","chat 360449202305261223 - prestador","PJ EMPRESARIAL"
"2023/05/26 8:48:57 AM GMT-3","Bianca","Ticket: #60252","PF"
"2023/05/26 8:49:29 AM GMT-3","Bianca","Ticket: #60251","PJ EMPRESARIAL"
"2023/05/26 8:49:34 AM GMT-3","vanessa gallardo","chat 360449202305261222 - prestador","PJ EMPRESARIAL"
"2023/05/26 8:50:03 AM GMT-3","Bianca","Ticket: #60248","PJ EMPRESARIAL"
"2023/05/26 8:50:29 AM GMT-3","Bianca","Ticket: #60238","FUNDAÇOES"
"2023/05/26 8:52:56 AM GMT-3","Bianca","Ticket: #60253","PF"
"2023/05/26 8:53:48 AM GMT-3","Caleb","Ticket: #60255","PF"
"2023/05/26 8:54:53 AM GMT-3","SARA ZIMMERMANN","Ticket #60240","PJ EMPRESARIAL"
"2023/05/26 8:55:35 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60261","PJ EMPRESARIAL"
"2023/05/26 8:56:07 AM GMT-3","Caleb","Ticket: #60260","PJ EMPRESARIAL"
"2023/05/26 8:56:26 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60262","PJ EMPRESARIAL"
"2023/05/26 8:56:43 AM GMT-3","Caleb","Ticket: #60256","PF"
"2023/05/26 8:56:50 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60263","UFSC"
"2023/05/26 8:57:48 AM GMT-3","Caleb","Ticket: #60258","INTERCAMBIO"
"2023/05/26 8:58:22 AM GMT-3","juliana","#60249","PF"
"2023/05/26 9:03:11 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60268","PF"
"2023/05/26 9:05:04 AM GMT-3","VAL","Ticket #60269","PJ EMPRESARIAL"
"2023/05/26 9:05:20 AM GMT-3","vanessa gallardo","chat 36044920230526146313","PJ EMPRESARIAL"
"2023/05/26 9:07:38 AM GMT-3","VAL","Ticket #60271","PJ EMPRESARIAL"
"2023/05/26 9:10:17 AM GMT-3","VAL","Ticket #60274","PJ COLETIVO POR ADESÃO"
"2023/05/26 9:11:58 AM GMT-3","SARAH MORGANA","Ticket: #60273","INTERCAMBIO"
"2023/05/26 9:14:46 AM GMT-3","vanessa gallardo","chat 36044920230526146387","PJ EMPRESARIAL"
"2023/05/26 9:16:36 AM GMT-3","SARAH MORGANA","Ticket: #60273","PF"
"2023/05/26 9:17:11 AM GMT-3","ana camillo","Ticket: #60281","PJ EMPRESARIAL"
"2023/05/26 9:17:26 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60268","PF"
"2023/05/26 9:17:31 AM GMT-3","Milena","Ticket: #60235","PJ EMPRESARIAL"
"2023/05/26 9:17:55 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60277","INTERCAMBIO"
"2023/05/26 9:18:27 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60278","UFSC"
"2023/05/26 9:19:51 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60280","PF"
"2023/05/26 9:19:59 AM GMT-3","juliana","#60247","PJ EMPRESARIAL"
"2023/05/26 9:24:33 AM GMT-3","Natalia","Ticket: #60287","PF"
"2023/05/26 9:24:38 AM GMT-3","VAL","Ticket #60286","PJ COLETIVO POR ADESÃO"
"2023/05/26 9:26:06 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60285","PJ EMPRESARIAL"
"2023/05/26 9:26:21 AM GMT-3","Milenna","Ticket #60283","PJ EMPRESARIAL"
"2023/05/26 9:27:26 AM GMT-3","SARA ZIMMERMANN","Ticket #60266","PJ EMPRESARIAL"
"2023/05/26 9:29:16 AM GMT-3","Jacqueline Lais ","Ticket #60236","PJ COLETIVO POR ADESÃO"
"2023/05/26 9:29:54 AM GMT-3","Caleb","Ticket: #60293","PJ EMPRESARIAL"
"2023/05/26 9:31:02 AM GMT-3","vanessa gallardo","chat 360449202305261226 - prestador","PJ EMPRESARIAL"
"2023/05/26 9:31:03 AM GMT-3","ana camillo","Ticket: #60295","PJ EMPRESARIAL"
"2023/05/26 9:31:32 AM GMT-3","Caleb","Ticket: #60297","PJ EMPRESARIAL"
"2023/05/26 9:31:52 AM GMT-3","Caleb","Ticket: #60296","PJ EMPRESARIAL"
"2023/05/26 9:39:49 AM GMT-3","SARA ZIMMERMANN","Ticket: #60270","PJ EMPRESARIAL"
"2023/05/26 9:39:50 AM GMT-3","Natalia","Ticket: #60305","PF"
"2023/05/26 9:41:28 AM GMT-3","Caleb","Ticket: #60296","PJ EMPRESARIAL"
"2023/05/26 9:41:43 AM GMT-3","Natalia","Ticket: #60304","PJ EMPRESARIAL"
"2023/05/26 9:41:51 AM GMT-3","Caleb","Ticket: #60309","PJ EMPRESARIAL"
"2023/05/26 9:42:24 AM GMT-3","Caleb","Ticket: #60297","PJ EMPRESARIAL"
"2023/05/26 9:42:40 AM GMT-3","Natalia","Ticket: #60311","PJ EMPRESARIAL"
"2023/05/26 9:46:54 AM GMT-3","SARAH MORGANA","Ticket: #60315","PJ EMPRESARIAL"
"2023/05/26 9:47:00 AM GMT-3","juliana"," #60257","PF"
"2023/05/26 9:48:20 AM GMT-3","Natalia","Ticket: #60313","PJ COLETIVO POR ADESÃO"
"2023/05/26 9:49:33 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60314","PF"
"2023/05/26 9:50:08 AM GMT-3","vanessa gallardo","chat 36044920230526146273","PJ EMPRESARIAL"
"2023/05/26 9:50:24 AM GMT-3","SARAH MORGANA","Ticket: #60317","PJ EMPRESARIAL"
"2023/05/26 9:50:25 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60316","PF"
"2023/05/26 9:50:56 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60318","PJ EMPRESARIAL"
"2023/05/26 9:51:35 AM GMT-3","Caleb","Ticket: #60310","PF"
"2023/05/26 9:51:54 AM GMT-3","SARA ZIMMERMANN","Ticket #60291","PJ EMPRESARIAL"
"2023/05/26 9:52:34 AM GMT-3","Natalia","Ticket: #60312","PJ EMPRESARIAL"
"2023/05/26 9:54:20 AM GMT-3","Davi","Ticket #60320","PJ EMPRESARIAL"
"2023/05/26 9:54:29 AM GMT-3","SARA ZIMMERMANN","Ticket #60267","PJ EMPRESARIAL"
"2023/05/26 9:54:56 AM GMT-3","VAL","Ticket #60321","PJ EMPRESARIAL"
"2023/05/26 9:55:18 AM GMT-3","vanessa gallardo","chat 36044920230526146323","PJ EMPRESARIAL"
"2023/05/26 9:55:43 AM GMT-3","Davi","Ticket #60324","PJ EMPRESARIAL"
"2023/05/26 9:57:01 AM GMT-3","vanessa gallardo","chat 36044920230526146371","PJ EMPRESARIAL"
"2023/05/26 9:57:05 AM GMT-3","Jacqueline Lais ","Ticket #60302","PJ EMPRESARIAL"
"2023/05/26 9:58:34 AM GMT-3","Jacqueline Lais ","Ticket #60306","PJ COLETIVO POR ADESÃO"
"2023/05/26 9:59:40 AM GMT-3","ANA CAMILLO","Ticket: #60327","PJ EMPRESARIAL"
"2023/05/26 10:00:53 AM GMT-3","vanessa gallardo","chat 36044920230526146484","PJ EMPRESARIAL"
"2023/05/26 10:01:53 AM GMT-3","VAL","Ticket #60328","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:02:25 AM GMT-3","juliana","#60307","UFSC"
"2023/05/26 10:02:33 AM GMT-3","vanessa gallardo","chat 36044920230526146382","PJ EMPRESARIAL"
"2023/05/26 10:04:03 AM GMT-3","SARAH MORGANA","Ticket: #60333","PJ EMPRESARIAL"
"2023/05/26 10:04:16 AM GMT-3","vanessa gallardo","chat - 36044920230526146388","PJ EMPRESARIAL"
"2023/05/26 10:07:01 AM GMT-3","Davi","Ticket #60325","PF"
"2023/05/26 10:13:25 AM GMT-3","VAL ","Ticket #60340","PJ EMPRESARIAL"
"2023/05/26 10:14:15 AM GMT-3","SARAH MORGANA","Ticket: #60341","PJ EMPRESARIAL"
"2023/05/26 10:15:39 AM GMT-3","ÉRIKA MULASSANI MAINARDI ","Ticket: #60318","PJ EMPRESARIAL"
"2023/05/26 10:16:06 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60319","INTERCAMBIO"
"2023/05/26 10:16:48 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60323","PF"
"2023/05/26 10:17:09 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60346","INTERCAMBIO"
"2023/05/26 10:18:35 AM GMT-3","Davi","Ticket #60336","INTERCAMBIO"
"2023/05/26 10:19:32 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60347","PJ EMPRESARIAL"
"2023/05/26 10:19:38 AM GMT-3","Milena","Ticket: #60276","PJ EMPRESARIAL"
"2023/05/26 10:20:08 AM GMT-3","juliana"," #60298","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:21:45 AM GMT-3","Milena","Ticket: #60279","PJ EMPRESARIAL"
"2023/05/26 10:23:59 AM GMT-3","ana camillo","Ticket: #60348","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:24:24 AM GMT-3","VAL","Ticket #60349","PJ EMPRESARIAL"
"2023/05/26 10:25:11 AM GMT-3","Caleb","Ticket: #60352","PJ EMPRESARIAL"
"2023/05/26 10:25:28 AM GMT-3","VAL","Ticket #60350","PJ EMPRESARIAL"
"2023/05/26 10:25:29 AM GMT-3","juliana","#60292","PF"
"2023/05/26 10:26:25 AM GMT-3","Jacqueline Lais","Ticket #60356","PJ EMPRESARIAL"
"2023/05/26 10:27:42 AM GMT-3","SARA ZIMMERMANN","Ticket: #60332","PF"
"2023/05/26 10:30:57 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60355","PJ EMPRESARIAL"
"2023/05/26 10:30:57 AM GMT-3","ana camillo","Ticket: #60359","PJ EMPRESARIAL"
"2023/05/26 10:37:29 AM GMT-3","Natalia","Ticket: #60367","PJ EMPRESARIAL"
"2023/05/26 10:37:49 AM GMT-3","Jacqueline Lais","Ticket #60356","PJ EMPRESARIAL"
"2023/05/26 10:38:08 AM GMT-3","SARA ZIMMERMANN","Ticket #60362","UFSC"
"2023/05/26 10:38:18 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60369","UFSC"
"2023/05/26 10:38:21 AM GMT-3","Natalia","Ticket: #60368","PJ EMPRESARIAL"
"2023/05/26 10:38:59 AM GMT-3","Jacqueline Lais ","Ticket #60364","PJ EMPRESARIAL"
"2023/05/26 10:40:22 AM GMT-3","ana camillo","Ticket: #60366","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:41:28 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60360","PJ EMPRESARIAL"
"2023/05/26 10:41:42 AM GMT-3","juliana","#60300","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:42:08 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60371","PJ EMPRESARIAL"
"2023/05/26 10:43:43 AM GMT-3","Davi","Ticket #60343","PF"
"2023/05/26 10:43:52 AM GMT-3","Davi","Ticket #60343","PF"
"2023/05/26 10:44:49 AM GMT-3","Caleb","Ticket: #60373","PJ EMPRESARIAL"
"2023/05/26 10:45:48 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60377","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:45:52 AM GMT-3","Sara zimmermann","Ticket #60361","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:46:19 AM GMT-3","Caleb","Ticket: #60375","PJ EMPRESARIAL"
"2023/05/26 10:49:21 AM GMT-3","Milena","Ticket: #60354","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:50:15 AM GMT-3","Davi","Ticket #60330","PJ EMPRESARIAL"
"2023/05/26 10:51:47 AM GMT-3","Caleb","Ticket: #60379","PJ COLETIVO POR ADESÃO"
"2023/05/26 10:52:35 AM GMT-3","Davi","Ticket #60343","PF"
"2023/05/26 10:55:59 AM GMT-3","Caleb","Ticket: #60389","PJ EMPRESARIAL"
"2023/05/26 10:57:04 AM GMT-3","vanessa gallardo","chat 360449202305261227 - prestador","PJ EMPRESARIAL"
"2023/05/26 11:00:03 AM GMT-3","Davi","Ticket #60326","INTERCAMBIO"
"2023/05/26 11:02:57 AM GMT-3","SARAH MORGANA ","Ticket: #60387","UFSC"
"2023/05/26 11:03:40 AM GMT-3","Davi","Ticket #60391","INTERCAMBIO"
"2023/05/26 11:03:43 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60395","PJ EMPRESARIAL"
"2023/05/26 11:04:15 AM GMT-3","Bianca","Ticket: #60396","PF"
"2023/05/26 11:04:37 AM GMT-3","SARA ZIMMERMANN","Ticket #60393","CAASC 0025"
"2023/05/26 11:07:50 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60402","PJ EMPRESARIAL"
"2023/05/26 11:09:19 AM GMT-3","Natalia","Ticket: #60403","PJ EMPRESARIAL"
"2023/05/26 11:12:24 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60408","PF"
"2023/05/26 11:12:52 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60409","PJ EMPRESARIAL"
"2023/05/26 11:14:38 AM GMT-3","sarah morgana","Ticket: #60404","PJ EMPRESARIAL"
"2023/05/26 11:17:26 AM GMT-3","ana camillo","Ticket: #60411","CAASC 0025"
"2023/05/26 11:17:53 AM GMT-3","SARA ZIMMERMANN","Ticket: #60358","PJ EMPRESARIAL"
"2023/05/26 11:20:28 AM GMT-3","Natalia","Ticket: #60413","PJ EMPRESARIAL"
"2023/05/26 11:22:18 AM GMT-3","SARAH MORGANA","Ticket: #60417","PJ EMPRESARIAL"
"2023/05/26 11:22:30 AM GMT-3","sara zimmermann","Ticket: #60381","PJ EMPRESARIAL"
"2023/05/26 11:23:41 AM GMT-3","Davi","Ticket #60342","FUNDAÇOES"
"2023/05/26 11:24:15 AM GMT-3","SARAH MORGANA ","Ticket: #60405","INTERCAMBIO"
"2023/05/26 11:26:27 AM GMT-3","ÉRIKA MULASSANI MAINARDI","Ticket: #60420","PF"
